Number of operation
321
837
1554
2464
3569
4865
6362
8056
9945
12023
14298
16768
19435
22289
25344
28590
32035
35677
39516
43546
47767
52187
56806
61616
66625
71827
77224
82826
88605
94589
100772
107146
113709
120467
127422
134570
141913
149453
157188
165118
173243
181567
190094
198814
207717
216813
226118
235604
245287
255169
265246
275518
285991
296649
307510
318562
329801
341241
352886
364718
376759
388985
401396
414002
426813
439811
453004
466400
479985
493763
507742
521912
536273
550831
565588
580540
595683
611019
626552
642280
658207
674333
690644
707156
723863
740763
757858
775148
792635
810313
828192
846262
864533
882993
901652
920500
939549
958785
978216
997848
1017679
1037701
1057916
1078328
1098933
1119737
1140730
1161924
1183309
1204891
1226670
1248646
1270813
1293179
1315734
1338484
1361435
1384577
1407912
1431444
1455177
1479099
1503214
1527522
1552031
1576733
1601634
1626726
1652013
1677493
1703170
1729042
1755111
1781367
1807826
1834472
1861315
1888361
1915598
1943028
1970655
1998475
2026496
2054714
2083123
2111721
2140520
2169512
2198705
2228087
2257664
2287438
2317405
2347569
2377924
2408476
2439231
2470171
2501306
2532636
2564167
2595887
2627804
2659918
2692229
2724735
2757430
2790320
2823409
2856689
2890162
2923836
2957705
2991767
3026020
3060480
3095123
3129965
3164998
3200234
3235657
3271281
3307096
3343106
3379309
3415707
3452302
3489092
3526085
3563269
3600646
3638218
3675981
3713939
3752098
3790452
3828993
3867733
3906668
3945806
3985127
4024651
4064366
4104274
4144389
4184687
4225186
4265872
4306755
4347833
4389110
4430582
4472251
4514111
4556164
4598416
4640865
4683507
4726348
4769374
4812599
4856019
4899642
4943452
4987463
5031659
5076058
5120648
5165433
5210415
5255590
5300960
5346531
5392291
5438250
5484400
5530743
5577295
5624036
5670968
5718091
5765419
5812936
5860648
5908553
5956657
6004948
6053442
6102131
6151009
6200096
6249370
6298837
6348497
6398352
6448404
6498651
6549091
6599730
6650560
6701593
6752813
6804230
6855838
6907645
6959651
7011848
7064238
7116827
7169607
7222584
7275752
7329117
7382675
7436434
7490382
7544527
7598867
7653400
7708130
7763061
7818183
7873498
7929006
7984719
8040621
8096720
8153016
8209499
8266179
8323058
8380138
8437407
8494871
8552528
8610382
8668437
8726679
8785114
8843752
8902577
8961603
9020822
9080234
9139841
9199647
9259644
9319836
9380221
9440803
9501578
9562556
9623725
9685083
9746646
9808400
9870349
9932489
9994828
10057358
10120089
10183009
10246126
10309438
10372949
10436655
10500548
10564650
10628933
10693413
10758086
10822954
10888025
