Number of operation
1276
2359
3448
5063
5615
7497
9638
9925
12332
12354
13567
14784
16003
17213
18433
21763
20862
24458
23289
27150
25726
29845
31192
29372
33886
35231
36580
37926
35451
40619
37877
43314
44665
46008
47354
48703
45168
51396
47597
54091
50030
56783
52454
59479
60826
56097
63518
64868
59741
67560
68908
70254
71601
72948
74295
68248
76990
78336
79684
81030
74325
75540
76756
86419
87766
89112
90459
91806
93153
94502
95847
97195
88906
99890
101236
102582
103931
105276
106624
107971
98632
110666
112012
102269
114705
104707
105916
118746
120093
121442
122789
124134
125481
126828
128175
129523
130870
119278
133564
134911
136256
137606
138951
140299
141646
142993
144339
145687
147034
148380
149727
151074
152421
153769
139936
156462
142367
159156
160504
161851
163197
164544
165892
167239
168587
169932
171280
172626
156953
175320
176669
178016
179363
180708
182058
183402
184750
167884
187444
188790
190139
191486
192832
194179
195525
196872
198220
199568
200917
202262
203608
204956
206302
207649
208996
210342
211690
213036
214382
215732
217078
218425
219773
221118
222466
223813
225160
226507
227853
229202
230548
231895
233241
234589
235935
237283
238629
216482
241324
242669
244018
245365
246712
248059
249405
250753
252099
253446
254794
256141
257487
258834
260182
261529
237133
264224
265569
266916
268263
269610
270959
272306
273653
274999
276346
277692
279039
280387
281735
283080
284428
285774
287120
288472
289815
291163
292511
293856
295203
296550
297898
299244
300592
301942
303286
304633
305978
307325
308674
310020
311368
312714
314061
315407
316757
318104
319451
320796
322144
323491
324837
326184
327531
328879
330225
331573
332921
334267
335614
303964
338307
339654
341002
342348
343696
345042
346391
347737
349084
350431
351776
353125
354471
355820
357166
358514
359859
361207
362552
363899
365248
366594
367941
369289
370636
371983
373329
374677
376024
377371
378717
380066
381412
382760
384107
385451
386800
388149
389493
390841
392187
393535
394882
396230
397576
398923
400270
401616
402962
404311
405657
407005
408352
409698
411045
412393
413740
415087
416434
417780
419130
420475
421822
423168
424515
425862
427208
428557
429904
431250
432597
433944
435293
436639
437986
439333
440680
442026
443375
444722
446069
447416
448761
