Number of operation
599
1661
3182
5164
7605
10503
13862
17676
21949
26687
31886
37542
43659
50231
57266
64754
72697
81099
89966
99292
109083
119327
130028
141190
152813
164897
177436
190444
203901
217815
232190
247034
262325
